Country.Name,Year.cutoff,lambda,pi.mean,gamma_all,gamma_outputfall,gamma,g,delta
Albania,1990,0.06156854629516602,0.03962264150943407,-3.602053999900818,-9.443121433258057,0.09443121433258056,0.02608400458097458,0.010775000154972077
Albania,1991,0.05489142417907715,0.039451114922812974,-3.7458600997924805,-9.443121433258057,0.09443121433258056,0.014621822346340525,0.008774999976158143
Albania,1992,0.05464460849761963,0.0377358490566037,-3.491720199584961,-9.046422004699707,0.09046422004699707,-0.009929996182521187,0.010775000154972077
Albania,1993,0.05464460849761963,0.034833091436864985,-3.491720199584961,-9.046422004699707,0.09046422004699707,-0.014704611714069655,0.012775000333786011
Albania,1994,0.05464460849761963,0.0323450134770889,-3.491720199584961,-9.046422004699707,0.09046422004699707,-0.006797141219888415,0.015020833611488342
Albania,1995,0.05464460849761963,0.03270440251572311,-3.491720199584961,-9.443121433258057,0.09443121433258056,-7.733205954234043e-5,0.017266666889190672
Albania,1996,0.05184954643249512,0.033018867924528385,-4,-9.443121433258057,0.09443121433258056,0.005490000955760479,0.015020833611488342
Albania,1997,0.05184954643249512,0.031076581576026514,-4,-9.443121433258057,0.09443121433258056,0.010520001123933236,0.012775000333786011
Albania,1998,0.05439779281616211,0.03249475890985333,-3.7458600997924805,-8.681434631347656,0.08681434631347656,0.0038665560550159915,0.012087500095367432
Albania,1999,0.05489142417907715,0.03674280039721927,-4.2176673412323,-5.762015342712402,0.057620153427124024,0.00831007916676371,0.011399999856948853
Albania,2000,0.05489142417907715,0.03679245283018856,-4.609468698501587,-6.26451301574707,0.0626451301574707,0.014339931100606915,0.010162499845027923
Albania,2001,0.055196635723114014,0.037735849056603474,-4,-6.013264179229736,0.06013264179229736,0.016964833708036517,0.008924999833106994
Albania,2002,0.05550184726715088,0.03687821612349902,-4.2176673412323,-6.26451301574707,0.0626451301574707,0.01996338310566815,0.01011249989271164
Albania,2003,0.056810131072998045,0.03855619360131253,-3.7953062057495117,-6.26451301574707,0.0626451301574707,0.02106783086838929,0.011299999952316285
Albania,2004,0.056810131072998045,0.03694968553459151,-3.7953062057495117,-6.26451301574707,0.0626451301574707,0.022493600323796274,0.011349999904632568
Albania,2005,0.05730103969573975,0.036226415094339375,-3.5906124114990234,-6.26451301574707,0.0626451301574707,0.023799776721000664,0.011399999856948853
Albania,2006,0.05730103969573975,0.034833091436865374,-3.5906124114990234,-6.26451301574707,0.0626451301574707,0.025009966882375573,0.011349999904632568
Albania,2007,0.05730103969573975,0.03354297693920316,-3.5906124114990234,-6.26451301574707,0.0626451301574707,0.026269814063001554,0.011299999952316285
Albania,2008,0.057791948318481445,0.03301886792452809,-3.7953062057495117,-6.567152738571167,0.06567152738571166,0.02746847976531302,0.011033333539962768
Albania,2009,0.057791948318481445,0.03968770331815219,-3.7953062057495117,-5.681007385253906,0.05681007385253906,0.029107528616642123,0.011299999952316285
