"scenario","mean_abs_bias","mean_rmse"
"baseline",0.0169390476190476,0.128751488158584
"D1a_rt_known",0.0169390476190476,0.128751488158584
"D1b_rt_ignored",0.017112380952381,0.128856096950946
"D2_calib_jitter",0.0174066666666667,0.127949537011344
