"alpha","share_np","share_sym","wc_np_lo","wc_np_hi"
0.1,0.899988483597092,0.332267989650832,0.561679084401208,0.37643101819162
0.15,0.828626224487723,0.332267989650832,0.389522742228581,0.237191080575533
0.2,0.765351187137635,0.332267989650832,0.305442206530626,0.170663341423388
0.25,0.702194555993988,0.332267989650832,0.247839967891726,0.126194572452399
0.3,0.638715255385219,0.332267989650832,0.204237247052182,0.0935404121575903
0.35,0.585730151054896,0.332267989650832,0.174665731187775,0.0721579321237144
0.4,0.530698129169473,0.332267989650832,0.148415296747969,0.0539392975691239
0.45,0.48031836795985,0.332267989650832,0.127285585383563,0.0400120328555905
0.5,0.42986532451278,0.332267989650832,0.10820440523499,0.0282310935147122
0.55,0.389538937886921,0.332267989650832,0.0941157588391432,0.0201987814765111
0.6,0.335620521895929,0.332267989650832,0.0765303975398586,0.0112922298101515
0.65,0.289242779295924,0.332267989650832,0.062295939386835,0.00538877630543422
0.7,0.247417897542613,0.332267989650832,0.0500017425975812,0.00169676214165282
0.75,0.205225819987898,0.332267989650832,0.0380118487691017,2.36352559763731e-05
0.8,0.16542534364696,0.332267989650832,0.0270316230755425,0.00121826725316099
0.85,0.126864779357919,0.332267989650832,0.0167548227211149,0.00669294012819133
0.9,0.089117418418289,0.332267989650832,0.00739728287076669,0.0202480287395158
