"pi","rel_dev","wc_down","wc_up","ratio"
0.03,0.25,0.00084202724681659,0.000514177626085521,1.63761938306615
0.035,0.25,0.000915313359854286,0.000560429720547484,1.63323486655939
0.04,0.25,0.000984799951329496,0.000604610666075978,1.6288167023599
0.045,0.25,0.00105128050473913,0.000647194950164964,1.62436450480827
0.05,0.25,0.00111533127805608,0.000688527999659128,1.61987788239294
0.055,0.25,0.00117738650175037,0.000728871024570532,1.6153564376415
0.06,0.25,0.00123778317149359,0.000768427707057873,1.61079976701096
0.065,0.25,0.00129678922071697,0.0008073609744641,1.60620746076776
0.07,0.25,0.00135462203333159,0.000845804013613671,1.60157910287515
0.075,0.25,0.00141146105588641,0.000883867770255176,1.59691427087438
0.08,0.25,0.00146745665402892,0.000921646213099203,1.59221253575635
0.085,0.25,0.00152273649415857,0.000959220126042437,1.58747346184353
0.09,0.25,0.00157741024527125,0.000996659902243069,1.58269660665705
0.095,0.25,0.00163157311102458,0.00103402764373017,1.57788152078682
0.1,0.25,0.00168530852875892,0.00107137876694074,1.57302774776022
0.105,0.25,0.00173869026344831,0.00110876324978404,1.56813482390128
0.11,0.25,0.00179178405440483,0.00114622661404662,1.56320227819449
0.115,0.25,0.00184464892616798,0.00118381070935958,1.55822963213933
0.12,0.25,0.00189733824367355,0.00122155434629512,1.55321639960435
0.125,0.25,0.00194990057018596,0.00125949381331936,1.54816208667755
0.13,0.25,0.00200238037134515,0.00129766330333581,1.54306619151345
0.135,0.25,0.00205481859786694,0.0013360952691347,1.53792820417493
0.14,0.25,0.00210725317162752,0.00137482072242379,1.53274760647517
0.145,0.25,0.00215971939413639,0.0014138694877317,1.52752387181173
0.15,0.25,0.00221225029216199,0.00145327041995091,1.52225646499893
0.155,0.25,0.0022648769120589,0.00149305159238911,1.51694484209669
0.16,0.25,0.00231762857195572,0.00153324046078573,1.51158845023436
0.165,0.25,0.00237053307908075,0.00157386400763548,1.50618672743025
0.17,0.25,0.0024236169180899,0.00161494887032743,1.50073910240794
0.175,0.25,0.00247690541512635,0.00165652145594197,1.4952449944078
0.18,0.25,0.00253042288147531,0.00169860804503752,1.48970381299437
