"alpha","omega0","omega1","ratio"
0.1,0.003975252497363,0.000443080580893831,0.105990949034991
0.2,0.00413072822547356,0.000373957273970557,0.0880355385306273
0.3,0.00456550326805778,0.000332344039482917,0.0725248393798908
0.4,0.00523370073922304,0.00030434773603046,0.0594006244660044
0.5,0.00615064912732499,0.000284697284138311,0.0482874541807799
